player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
238223,Ederson,Man City,31.0,Goalkeeper,25000.0,Brazil,1.88,Gestifute,left,2026.0
85941,Stefan Ortega,Man City,32.0,Goalkeeper,9000.0,Germany,1.85,,right,2026.0
14555,Scott Carson,Man City,39.0,Goalkeeper,200.0,England,1.88,Wasserman,right,2025.0
262749,David Raya,Arsenal,29.0,Goalkeeper,40000.0,Spain,1.83,,right,2028.0
111819,Neto,Arsenal,35.0,Goalkeeper,2000.0,Brazil,1.9,Bertolucci Sports,right,2025.0
105470,Alisson,Liverpool,32.0,Goalkeeper,25000.0,Brazil,1.93,,right,2027.0
340918,Caoimhín Kelleher,Liverpool,26.0,Goalkeeper,22000.0,Ireland,1.88,ROOF,right,2026.0
486604,Vitezslav Jaros,Liverpool,23.0,Goalkeeper,5000.0,Czech Republic,1.9,SPORT INVEST,right,2026.0
706815,Harvey Davies,Liverpool,21.0,Goalkeeper,500.0,England,1.9,Unique Sports Group,left,2025.0
403151,Robert Sánchez,Chelsea,27.0,Goalkeeper,20000.0,Spain,1.97,CAA Stellar,right,2030.0
116648,Marcus Bettinelli,Chelsea,32.0,Goalkeeper,800.0,England,1.93,Refuel Performance ...,right,2026.0
490606,Lucas Bergström,Chelsea,22.0,Goalkeeper,700.0,Finland,2.05,CAA Stellar,right,2025.0
286047,Guglielmo Vicario,Tottenham,28.0,Goalkeeper,35000.0,Italy,1.94,GG11,right,2028.0
725912,Antonín Kinský,Tottenham,22.0,Goalkeeper,15000.0,Czech Republic,1.9,SPORT INVEST,right,2031.0
52570,Fraser Forster,Tottenham,37.0,Goalkeeper,1200.0,England,2.01,CAA Stellar,right,2025.0
428016,Brandon Austin,Tottenham,26.0,Goalkeeper,600.0,England,1.88,Unique Sports Group,right,2029.0
282823,Alfie Whiteman,Tottenham,26.0,Goalkeeper,500.0,England,1.88,,right,2025.0
234509,André Onana,Man Utd,29.0,Goalkeeper,32000.0,Cameroon,1.9,LIAN Sports Group,right,2028.0
336077,Altay Bayındır,Man Utd,27.0,Goalkeeper,10000.0,Türkiye,1.98,,right,2027.0
