player_id,name,player_club,age,position,goalkeeper_or_not,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals_conceded,clean_sheet,crawl_timestamp,source
506942,Zan Vipotnik,Swansea,23.0,Centre-Forward,0,2500.0,Slovenia,1.85,BOLA CONSULTING,both,2028.0,44.0,1.39,7.0,0,0,18.0,23.0,1.0,0,0,1.0,321.0,2.247,0.0,0.0,1748225134959,https://www.transfermarkt.com/zan-vipotnik/profil/spieler/506942
1126888,Lamine Fanne,Luton,21.0,Central Midfield,0,4000.0,Spain,1.85,None,right,2029.0,14.0,1.36,0.0,0,0,6.0,6.0,1.0,0,0,0,0.0,722.0,0.0,0.0,1748225136630,https://www.transfermarkt.com/lamine-fanne/profil/spieler/1126888
448266,Bilal Hussein,Hertha BSC,25.0,Central Midfield,0,400.0,Sweden,1.73,HCM Sports ...,right,2026.0,8.0,1.88,0.0,3.0,0,3.0,1.0,1.0,0,0,0,0.0,494.0,0.0,0.0,1748225139582,https://www.transfermarkt.com/bilal-hussein/profil/spieler/448266
382567,Matteo Cotali,Modena,28.0,Left-Back,0,600.0,Italy,1.77,None,left,2026.0,31.0,1.16,1.0,0,0,6.0,20.0,6.0,0,1.0,0,2.014,2.014,0.0,0.0,1748225151882,https://www.transfermarkt.com/matteo-cotali/profil/spieler/382567
474701,Crysencio Summerville,West Ham,23.0,Left Winger,0,22000.0,Netherlands,1.74,Wasserman,right,2029.0,22.0,1.05,1.0,2.0,0,12.0,8.0,2.0,0,0,0,989.0,989.0,0.0,0.0,1748225154139,https://www.transfermarkt.com/crysencio-summerville/profil/spieler/474701
1005649,Murillo,Forest,22.0,Centre-Back,0,55000.0,Brazil,1.8,None,left,2029.0,39.0,1.72,2.0,0,0,0,3.0,6.0,0,0,0,1.761,3.521,0.0,0.0,1748225155904,https://www.transfermarkt.com/murillo/profil/spieler/1005649
292808,Wout Faes,Leicester,27.0,Centre-Back,0,20000.0,Belgium,1.87,None,right,2027.0,37.0,0.81,2.0,0,0,4.0,1.0,4.0,0,0,0,1.532,3.064,0.0,0.0,1748225201768,https://www.transfermarkt.com/wout-faes/profil/spieler/292808
503680,Neco Williams,Forest,24.0,Right-Back,0,20000.0,Wales,1.83,Unique Sports Group,right,2026.0,39.0,1.82,1.0,3.0,0,10.0,5.0,9.0,0,0,0,2.803,2.803,0.0,0.0,1748225214732,https://www.transfermarkt.com/neco-williams/profil/spieler/503680
85393,Nicolas Viola,Cagliari,35.0,Attacking Midfield,0,1000.0,Italy,1.8,None,left,2025.0,28.0,1.18,3.0,1.0,0,10.0,18.0,3.0,0,0,0,436.0,1.308,0.0,0.0,1748225226580,https://www.transfermarkt.com/nicolas-viola/profil/spieler/85393
1031293,Ryan Oné,Sheff Utd,18.0,Centre-Forward,0,200.0,Scotland,1.88,None,left,2029.0,15.0,2.0,1.0,0,0,11.0,2.0,3.0,0,0,0,485.0,485.0,0.0,0.0,1748225228666,https://www.transfermarkt.com/ryan-one/profil/spieler/1031293
76274,Christian Gytkjær,Venezia,35.0,Centre-Forward,0,700.0,Denmark,1.85,None,right,2025.0,30.0,0.73,2.0,1.0,0,23.0,6.0,0.0,0,0,1.0,413.0,826.0,0.0,0.0,1748225230323,https://www.transfermarkt.com/christian-gytkjaer/profil/spieler/76274
221421,Kleis Bozhanaj,Modena,24.0,Attacking Midfield,0,450.0,Albania,1.8,None,right,2026.0,28.0,0.96,2.0,3.0,0,19.0,11.0,1.0,0,0,0,469.0,938.0,0.0,0.0,1748225232234,https://www.transfermarkt.com/kleis-bozhanaj/profil/spieler/221421
395739,Kevin Piscopo,Juve Stabia,27.0,Second Striker,0,250.0,Italy,1.81,GR Sports,right,2026.0,38.0,1.53,4.0,9.0,0,10.0,20.0,4.0,0,0,0,599.0,2.397,0.0,0.0,1748225254131,https://www.transfermarkt.com/kevin-piscopo/profil/spieler/395739
633463,Adam Randell,Plymouth,24.0,Defensive Midfield,0,2200.0,England,1.75,Wasserman,right,2026.0,43.0,1.14,1.0,3.0,0,1.0,9.0,7.0,0,0,0,3.644,3.644,0.0,0.0,1748225255929,https://www.transfermarkt.com/adam-randell/profil/spieler/633463
470391,Jayden Braaf,Salernitana,22.0,Left Winger,0,800.0,Netherlands,1.81,None,right,2025.0,18.0,1.06,2.0,0,0,12.0,6.0,3.0,0,0,0,363.0,726.0,0.0,0.0,1748225257770,https://www.transfermarkt.com/jayden-braaf/profil/spieler/470391
255461,Przemyslaw Szyminski,Frosinone,30.0,Centre-Back,0,400.0,Poland,1.85,None,right,2025.0,1.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0,0.0,16.0,0.0,0.0,1748225295777,https://www.transfermarkt.com/przemyslaw-szyminski/profil/spieler/255461
525247,Maximilian Kilman,West Ham,28.0,Centre-Back,0,30000.0,England,1.94,Wasserman,left,2031.0,41.0,1.12,0.0,2.0,0,0,1.0,5.0,0,0,0,0.0,3.619,0.0,0.0,1748225297597,https://www.transfermarkt.com/maximilian-kilman/profil/spieler/525247
942738,Milan Aleksic,Sunderland,19.0,Central Midfield,0,700.0,Serbia,1.79,WINS,right,2028.0,18.0,1.06,3.0,1.0,0,6.0,6.0,3.0,0,0,0,381.0,1.144,0.0,0.0,1748225311557,https://www.transfermarkt.com/milan-aleksic/profil/spieler/942738
688707,Salis Abdul Samed,Sunderland,25.0,Defensive Midfield,0,5500.0,Ghana,1.79,Supernova Management,right,2025.0,11.0,1.0,0.0,0,0,8.0,3.0,0.0,0,0,0,0.0,320.0,0.0,0.0,1748225324502,https://www.transfermarkt.com/salis-abdul-samed/profil/spieler/688707
629588,Nathan Ngoumou,Bor. M'gladbach,25.0,Right Winger,0,4000.0,Cameroon,1.85,None,right,2027.0,21.0,1.62,2.0,1.0,0,12.0,9.0,0.0,0,0,0,426.0,851.0,0.0,0.0,1748225337467,https://www.transfermarkt.com/nathan-ngoumou/profil/spieler/629588
436064,Ramon Hendriks,VfB Stuttgart,23.0,Left-Back,0,5000.0,Netherlands,1.89,Forza Sports Group,left,2028.0,31.0,1.81,0.0,1.0,0,17.0,1.0,4.0,0,0,0,0.0,1.536,0.0,0.0,1748225341124,https://www.transfermarkt.com/ramon-hendriks/profil/spieler/436064
412823,Joel Latibeaudiere,Coventry,25.0,Centre-Back,0,3000.0,Jamaica,1.8,Wasserman,right,2027.0,36.0,1.56,1.0,0,1.0,4.0,5.0,5.0,0,0,0,2.815,2.815,0.0,0.0,1748225343661,https://www.transfermarkt.com/joel-latibeaudiere/profil/spieler/412823
